Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg
Friday Night Lights,"Drama, Sport",0,43641,8.7,78,32,29,2,-1,9,303,280,6,17
Father Ted,Comedy,0,26545,8.6,-1,-1,-1,-1,0,8,21,18,1,2
Kardes Payi,"Comedy, Drama, Family",0,7696,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Monster,"Animation, Drama, Mystery",0,9371,8.7,-1,-1,-1,-1,0,8,22,20,-1,2
Justice League,"Animation, Action, Adventure",0,27762,8.6,-1,-1,-1,-1,0,8,26,23,1,2
Justified,"Action, Crime, Drama",0,64527,8.6,80,27,23,4,0,9,519,489,18,12
Alfred Hitchcock Presents,"Crime, Drama, Mystery",0,8958,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gomorrah,"Crime, Drama, Thriller",0,10939,8.7,76,15,14,1,0,8,42,37,2,3
Boardwalk Empire,"Crime, Drama, History",0,138283,8.6,88,31,29,2,0,8,629,582,23,24
The Bridge,"Crime, Mystery, Thriller",0,30369,8.6,65,13,5,8,0,7,17,13,-1,4
The Office,Comedy,0,207485,8.8,62,30,15,12,-1,8,324,283,26,15
The Colbert Report,"Comedy, News, Talk-Show",0,31464,8.6,65,22,13,7,-1,8,172,154,7,11
Homicide: Life on the Street,"Crime, Drama, Mystery",0,8477,8.7,94,18,18,-1,0,8,19,17,1,1
Neon Genesis Evangelion,"Animation, Action, Drama",0,27447,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tinker Tailor Soldier Spy,"Drama, Thriller",0,5142,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coupling,"Comedy, Romance",0,35286,8.6,-1,-1,-1,-1,0,8,27,24,2,1
Spartacus: Gods of the Arena,"Action, Adventure, Biography",0,92839,8.6,55,6,3,2,-1,8,163,149,8,6
The Newsroom,Drama,0,81996,8.6,56,31,13,12,-1,8,518,434,49,35
Peep Show,Comedy,0,35680,8.6,-1,-1,-1,-1,0,8,36,33,-1,3
Rurouni Kenshin: Wandering Samurai,"Animation, Action, Adventure",0,11578,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Angry Video Game Nerd,Comedy,0,10549,8.6,-1,-1,-1,-1,0,8,24,21,-1,3
The Prisoner,"Drama, Mystery, Sci-Fi",0,9075,8.6,45,21,3,12,-1,3,81,24,9,48
Whose Line Is It Anyway?,"Comedy, Game-Show",0,31343,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
