Title,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,userscore,usercount,userpos,usermixed,userneg
Scenes from a Marriage,11794,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jeeves and Wooster,8108,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Endeavour,7236,8.6,80,7,7,-1,7,29,22,3,4
Entourage,137378,8.5,68,19,12,6,8,77,71,2,4
Parasyte: The Maxim,7493,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Walking Dead,658027,8.6,82,25,23,2,8,2395,2,144,225
The Muppet Show,15405,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Utopia,25788,8.5,38,4,-1,2,4,33,11,5,17
Generation War,15112,8.5,-1,-1,-1,-1,7,13,10,-1,3
Happy Valley,14382,8.5,83,9,9,-1,8,83,77,1,5
Mushi-Shi,7760,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Mr. Show with Bob and David,6881,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Naruto: Shippûden,46406,8.6,-1,-1,-1,-1,8,89,78,2,9
Brigada,6733,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Roots,11689,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Doctor Who,151514,8.8,70,9,7,2,8,520,476,27,17
Yu Yu Hakusho: Ghost Files,7439,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
My Mad Fat Diary,10891,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
Borgen,11561,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Top Gear,81037,8.8,-1,-1,-1,-1,8,64,57,2,5
Red Dwarf,25715,8.4,-1,-1,-1,-1,8,30,27,1,2
The Get Down,9929,8.6,69,31,20,11,7,101,78,6,17
The Kingdom,13715,8.5,72,12,10,2,8,32,27,2,3
Bleak House,6531,8.5,93,14,14,-1,9,58,54,1,3
24: Live Another Day,35237,8.5,70,40,30,10,8,135,116,9,10
Summer Heights High,11330,8.5,67,13,9,3,8,58,52,-1,6
Hellsing Ultimate,12440,8.5,-1,-1,-1,-1,8,17,15,2,-1
Trailer Park Boys,25413,8.5,-1,-1,-1,-1,9,50,47,2,1
Southland,20837,8.5,69,22,16,5,8,122,107,10,5
I Love Lucy,16968,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Supernatural,291984,8.6,59,22,12,4,8,822,753,34,35
Samurai Jack,26641,8.4,-1,-1,-1,-1,8,21,19,-1,2
The Inbetweeners,57744,8.4,62,9,5,3,4,38,15,3,20
Terriers,8684,8.5,75,24,21,2,8,109,99,8,2
Fringe,181582,8.5,67,25,16,9,8,497,431,37,29
Lost,387136,8.4,86,27,26,1,9,737,695,22,20
M*A*S*H,37188,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Prison Break,340355,8.5,65,32,21,9,9,626,576,25,25
Extras,41668,8.4,81,24,21,2,8,85,75,5,5
BoJack Horseman,25961,8.4,59,13,6,5,8,420,385,19,16
Boston Legal,35314,8.4,69,22,16,5,8,27,23,2,2
Broad City,15015,8.5,75,14,12,2,8,104,87,5,12
Star Trek,52371,8.4,-1,-1,-1,-1,8,36,27,8,1
The League of Gentlemen,6651,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stargate SG-1,65299,8.4,48,8,2,4,7,105,87,2,16
Pushing Daisies,45887,8.4,86,30,30,-1,8,248,203,22,23
Scrubs,197348,8.4,79,21,17,3,8,195,182,6,7
A Bit of Fry and Laurie,7207,8.4,-1,-1,-1,-1,8,11,10,-1,1
Olive Kitteridge,10754,8.4,89,34,33,1,8,106,92,3,11
The Dick Van Dyke Show,6123,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,148623,8.4,88,27,26,-1,8,216,197,7,12
Baccano!,6646,8.4,-1,-1,-1,-1,8,16,15,-1,1
Trigun,13938,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Anne of Green Gables,14658,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Homeland,235455,8.4,92,29,29,-1,8,1037,897,50,90
Banshee,59842,8.4,62,20,9,11,8,277,252,16,9
Broadchurch,44202,8.4,91,30,29,1,8,251,218,10,23
Dragon Ball Z Kai,13097,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Person of Interest,130299,8.5,66,26,14,11,8,423,382,23,18
Foyle's War,9220,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
This Is England '88,5505,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
All in the Family,9929,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
My So-Called Life,15752,8.4,92,19,18,1,8,14,13,-1,1
Invader ZIM,15635,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Red vs. Blue: The Blood Gulch Chronicles,7529,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cranford,6766,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rectify,16327,8.3,82,28,25,3,8,292,266,15,11
Murder One,1556,8.1,99,25,25,-1,6,18,12,1,5
The People v. O.J. Simpson: American Crime Story,25284,8.5,90,45,43,2,8,311,277,12,22
Enlightened,5421,7.5,74,22,16,6,6,107,64,27,16
The Americans,49082,8.3,78,35,30,5,8,431,391,18,22
Homicide,57,8,94,18,18,-1,8,19,17,1,1
Transparent,14797,7.9,92,29,28,1,7,223,177,11,35
The Returned,16094,8.3,92,28,28,-1,8,265,235,10,20
The Hollow Crown,3571,8.5,91,7,7,-1,6,41,27,3,11
Master of None,28034,8.3,91,31,31,-1,7,396,308,41,47
The Corner,3496,8.7,90,21,20,1,7,9,7,-1,2
Rescue Me,22502,8.4,86,25,22,3,8,28,27,-1,1
The People v. O.J. Simpson: American Crime Story,25284,8.5,90,45,43,2,8,311,277,12,22
Veep,26044,8.1,72,30,21,8,7,204,170,15,19
Orange Is the New Black,194732,8.3,79,32,28,3,8,762,683,45,34
The Good Wife,50248,8.3,75,26,22,4,8,228,215,6,7
Boomtown,1670,8.2,89,31,29,2,7,4,3,-1,1
Masters of Sex,28204,8,86,32,29,3,7,273,234,12,27
Everybody Hates Chris,28067,7.4,88,32,31,1,8,194,161,11,22
The Roosevelts: An Intimate History,1037,8.9,88,21,21,-1,8,24,20,1,3
Fleabag,1726,8.1,88,19,19,-1,7,76,64,3,9
