Title,Genre,Metascore,imdbVotes,imdbRating,criticscore,criticcount,criticpos,criticmixed,criticneg,userscore,usercount,userpos,usermixed,userneg,Kmeans
Kardes Payi,4,7,8,0,7696,8.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Monster,2,7,15,0,9371,8.7,-1,-1,-1,-1,0,8,22,20,-1,2,4
Justice League,2,0,1,0,27762,8.6,-1,-1,-1,-1,0,8,26,23,1,2,4
Justified,0,5,7,0,64527,8.6,80,27,23,4,0,9,519,489,18,12,4
Alfred Hitchcock Presents,5,7,15,0,8958,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Gomorrah,5,7,23,0,10939,8.7,76,15,14,1,0,8,42,37,2,3,4
Boardwalk Empire,5,7,11,0,138283,8.6,88,31,29,2,0,8,629,582,23,24,4
The Bridge,5,15,23,0,30369,8.6,65,13,5,8,0,7,17,13,-1,4,4
The Office,4,4,4,0,207485,8.8,62,30,15,12,-1,8,324,283,26,15,4
The Colbert Report,4,16,22,0,31464,8.6,65,22,13,7,-1,8,172,154,7,11,4
Homicide: Life on the Street,5,7,15,0,8477,8.7,94,18,18,-1,0,8,19,17,1,1,4
Neon Genesis Evangelion,2,0,7,0,27447,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Tinker Tailor Soldier Spy,7,23,23,0,5142,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Coupling,4,18,18,0,35286,8.6,-1,-1,-1,-1,0,8,27,24,2,1,4
Spartacus: Gods of the Arena,0,1,3,0,92839,8.6,55,6,3,2,-1,8,163,149,8,6,4
The Newsroom,7,7,7,0,81996,8.6,56,31,13,12,-1,8,518,434,49,35,4
Peep Show,4,4,4,0,35680,8.6,-1,-1,-1,-1,0,8,36,33,-1,3,4
Rurouni Kenshin: Wandering Samurai,2,0,1,0,11578,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Angry Video Game Nerd,4,4,4,0,10549,8.6,-1,-1,-1,-1,0,8,24,21,-1,3,4
The Prisoner,7,15,19,0,9075,8.6,45,21,3,12,-1,3,81,24,9,48,4
Whose Line Is It Anyway?,4,10,10,0,31343,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Venture Bros.,2,4,19,0,18788,8.6,-1,-1,-1,-1,0,8,44,42,-1,2,4
Suits,4,7,7,0,250140,8.7,61,17,8,8,-1,8,486,439,24,23,4
Luther,5,7,15,0,74208,8.6,83,11,11,-1,0,7,255,189,8,58,4
Leyla and Mecnun,1,4,7,0,66354,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Vikings,0,7,11,0,205503,8.6,71,20,17,3,0,7,582,484,22,76,4
The Legend of Korra,2,0,1,0,67386,8.6,-1,-1,3,-1,0,8,318,281,15,22,4
The IT Crowd,4,4,4,0,94670,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Black Books,4,4,4,0,41333,8.6,-1,-1,-1,-1,0,8,31,29,1,1,4
Mr. Bean,4,8,8,0,64031,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Ghost in the Shell: Stand Alone Complex,2,0,5,0,12347,8.6,-1,-1,-1,-1,0,8,36,31,1,4,4
I'm Alan Partridge,4,4,4,0,13084,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Hannibal,5,7,12,0,163087,8.6,70,32,21,8,-1,8,942,847,36,59,4
Futurama,2,4,18,0,157816,8.5,72,28,22,5,-1,9,218,204,9,5,4
Spartacus: War of the Damned,0,1,3,0,175293,8.6,56,9,4,3,-1,7,156,123,9,24,4
Jesus of Nazareth,3,7,11,0,13118,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Sons of Anarchy,5,7,23,0,185707,8.6,68,23,13,9,-1,8,519,456,24,39,4
The People v. O.J. Simpson: American Crime Story,3,5,7,0,25284,8.5,90,45,43,2,0,8,311,277,12,22,4
The Knick,7,7,7,0,29416,8.6,75,37,28,9,0,8,219,198,7,14,4
Silicon Valley,4,4,4,0,64030,8.5,84,36,34,2,0,8,390,355,19,16,4
Wentworth Prison,5,7,7,0,8241,8.8,65,32,21,9,-1,9,626,576,25,25,4
Behzat Ç.: Bir Ankara Polisiyesi,5,7,15,0,16699,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Garth Marenghi's Darkplace,4,4,4,0,12026,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Permanent Roommates,4,18,18,0,10904,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Police Squad!,4,5,5,0,10347,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Isler Güçler,4,4,4,0,14620,8.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Community,4,4,4,0,148510,8.5,69,23,16,7,0,8,679,638,12,29,4
Carnivàle,7,9,15,0,34101,8.5,65,28,18,9,-1,8,60,55,1,4,4
Modern Family,4,18,18,0,251844,8.5,86,27,27,-1,0,8,603,540,30,33,4
X-Men,2,0,8,0,24851,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Larry Sanders Show,4,4,4,0,4857,8.6,91,15,15,-1,0,6,14,10,1,3,4
Scenes from a Marriage,7,7,7,0,11794,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Jeeves and Wooster,4,4,4,0,8108,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Endeavour,5,7,15,0,7236,8.6,80,7,7,-1,0,7,29,22,3,4,4
Entourage,4,7,7,0,137378,8.5,68,19,12,6,-1,8,77,71,2,4,4
Parasyte: The Maxim,2,12,19,0,7493,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
The Walking Dead,7,12,23,0,658027,8.6,82,25,23,2,0,8,2395,2,144,225,4
The Muppet Show,4,8,13,0,15405,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Utopia,7,15,19,0,25788,8.5,38,4,-1,2,-1,4,33,11,5,17,4
Generation War,7,11,24,57,15112,8.5,-1,-1,-1,-1,0,7,13,10,-1,3,4
Happy Valley,5,7,7,0,14382,8.5,83,9,9,-1,0,8,83,77,1,5,4
Mushi-Shi,2,7,9,0,7760,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Mr. Show with Bob and David,4,4,4,0,6881,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Naruto: Shippûden,2,0,1,0,46406,8.6,-1,-1,-1,-1,0,8,89,78,2,9,4
Brigada,5,7,7,0,6733,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Roots,7,11,24,0,11689,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Doctor Who,1,7,8,0,151514,8.8,70,9,7,2,0,8,520,476,27,17,4
Yu Yu Hakusho: Ghost Files,2,0,4,0,7439,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
My Mad Fat Diary,4,7,18,0,10891,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Borgen,7,7,7,0,11561,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Top Gear,4,22,22,0,81037,8.8,-1,-1,-1,-1,0,8,64,57,2,5,4
Red Dwarf,4,19,19,0,25715,8.4,-1,-1,-1,-1,0,8,30,27,1,2,4
The Get Down,7,13,14,0,9929,8.6,69,31,20,11,0,7,101,78,6,17,4
The Kingdom,4,7,9,0,13715,8.5,72,12,10,2,0,8,32,27,2,3,4
Bleak House,7,7,7,0,6531,8.5,93,14,14,-1,0,9,58,54,1,3,4
24: Live Another Day,0,5,7,0,35237,8.5,70,40,30,10,0,8,135,116,9,10,4
Summer Heights High,4,7,8,0,11330,8.5,67,13,9,3,-1,8,58,52,-1,6,4
Hellsing Ultimate,2,0,9,0,12440,8.5,-1,-1,-1,-1,0,8,17,15,2,-1,4
Trailer Park Boys,4,5,7,0,25413,8.5,-1,-1,-1,-1,0,9,50,47,2,1,4
Southland,5,7,23,0,20837,8.5,69,22,16,5,-1,8,122,107,10,5,4
I Love Lucy,4,8,8,0,16968,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Supernatural,7,9,12,0,291984,8.6,59,22,12,4,-1,8,822,753,34,35,4
Samurai Jack,2,0,1,0,26641,8.4,-1,-1,-1,-1,0,8,21,19,-1,2,4
The Inbetweeners,4,4,4,0,57744,8.4,62,9,5,3,-1,4,38,15,3,20,4
Terriers,5,7,15,0,8684,8.5,75,24,21,2,-1,8,109,99,8,2,4
Fringe,7,15,19,0,181582,8.5,67,25,16,9,0,8,497,431,37,29,4
Lost,1,7,9,0,387136,8.4,86,27,26,1,0,9,737,695,22,20,4
M*A*S*H,4,7,24,0,37188,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Prison Break,0,5,7,0,340355,8.5,65,32,21,9,-1,9,626,576,25,25,4
Extras,4,7,7,0,41668,8.4,81,24,21,2,-1,8,85,75,5,5,4
BoJack Horseman,2,4,7,0,25961,8.4,59,13,6,5,-1,8,420,385,19,16,4
Boston Legal,4,5,7,0,35314,8.4,69,22,16,5,-1,8,27,23,2,2,4
Broad City,4,4,4,0,15015,8.5,75,14,12,2,0,8,104,87,5,12,4
Star Trek,0,1,15,0,52371,8.4,-1,-1,-1,-1,0,8,36,27,8,1,4
The League of Gentlemen,4,12,12,0,6651,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Stargate SG-1,0,1,7,0,65299,8.4,48,8,2,4,-1,7,105,87,2,16,4
Pushing Daisies,4,7,9,0,45887,8.4,86,30,30,-1,0,8,248,203,22,23,4
Scrubs,4,7,7,0,197348,8.4,79,21,17,3,-1,8,195,182,6,7,4
A Bit of Fry and Laurie,4,4,4,0,7207,8.4,-1,-1,-1,-1,0,8,11,10,-1,1,4
Olive Kitteridge,7,7,7,0,10754,8.4,89,34,33,1,0,8,106,92,3,11,4
The Dick Van Dyke Show,4,8,8,0,6123,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
24,0,5,7,0,148623,8.4,88,27,26,-1,-1,8,216,197,7,12,4
Baccano!,2,0,1,0,6646,8.4,-1,-1,-1,-1,0,8,16,15,-1,1,4
Trigun,2,0,4,0,13938,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Anne of Green Gables,7,8,8,0,14658,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Homeland,5,7,15,0,235455,8.4,92,29,29,-1,0,8,1037,897,50,90,4
Banshee,0,5,7,0,59842,8.4,62,20,9,11,0,8,277,252,16,9,4
Broadchurch,5,7,15,0,44202,8.4,91,30,29,1,0,8,251,218,10,23,4
Dragon Ball Z Kai,2,0,1,0,13097,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Person of Interest,0,5,7,0,130299,8.5,66,26,14,11,-1,8,423,382,23,18,4
Foyle's War,5,7,15,0,9220,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
This Is England '88,7,7,7,0,5505,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
All in the Family,4,7,7,0,9929,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
My So-Called Life,7,7,7,0,15752,8.4,92,19,18,1,0,8,14,13,-1,1,4
Invader ZIM,2,4,8,0,15635,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Red vs. Blue: The Blood Gulch Chronicles,2,0,1,0,7529,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Cranford,7,7,7,0,6766,8.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4
Rectify,7,7,7,0,16327,8.3,82,28,25,3,0,8,292,266,15,11,4
Murder One,5,7,15,0,1556,8.1,99,25,25,-1,0,6,18,12,1,5,4
The People v. O.J. Simpson: American Crime Story,3,5,7,0,25284,8.5,90,45,43,2,0,8,311,277,12,22,4
Enlightened,4,7,7,0,5421,7.5,74,22,16,6,0,6,107,64,27,16,4
The Americans,5,7,15,0,49082,8.3,78,35,30,5,0,8,431,391,18,22,4
Homicide,0,7,7,0,57,8.0,94,18,18,-1,0,8,19,17,1,1,4
Transparent,4,7,7,0,14797,7.9,92,29,28,1,0,7,223,177,11,35,4
The Returned,7,9,12,0,16094,8.3,92,28,28,-1,0,8,265,235,10,20,4
The Hollow Crown,7,11,11,0,3571,8.5,91,7,7,-1,0,6,41,27,3,11,4
Master of None,4,4,4,0,28034,8.3,91,31,31,-1,0,7,396,308,41,47,4
The Corner,5,7,7,0,3496,8.7,90,21,20,1,0,7,9,7,-1,2,4
Rescue Me,7,4,4,0,22502,8.4,86,25,22,3,0,8,28,27,-1,1,4
The People v. O.J. Simpson: American Crime Story,3,5,7,0,25284,8.5,90,45,43,2,0,8,311,277,12,22,4
Veep,4,4,4,0,26044,8.1,72,30,21,8,-1,7,204,170,15,19,4
Orange Is the New Black,4,5,7,0,194732,8.3,79,32,28,3,-1,8,762,683,45,34,4
The Good Wife,5,7,15,0,50248,8.3,75,26,22,4,0,8,228,215,6,7,4
Boomtown,5,7,15,0,1670,8.2,89,31,29,2,0,7,4,3,-1,1,4
Masters of Sex,7,18,18,0,28204,8.0,86,32,29,3,0,7,273,234,12,27,4
Everybody Hates Chris,4,4,4,0,28067,7.4,88,32,31,1,0,8,194,161,11,22,4
The Roosevelts: An Intimate History,6,6,6,0,1037,8.9,88,21,21,-1,0,8,24,20,1,3,4
Fleabag,4,4,4,0,1726,8.1,88,19,19,-1,0,7,76,64,3,9,4
